,timestamp,rotation,position,actual_linear_vel,actual_angular_vel,wheel_names,wheel_effort,wheel_vel,commanded_linear,commanded_angular
0,0.0,[0. 0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
0,3.83,[-3.21009224e-08 -9.23507488e-08  4.05039620e-02  9.99179378e-01],[-0.08014975  0.15221064  0.        ],[-0.02092683  0.03974168  0.        ],0.8202591784829747,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,3.85,[-3.41531222e-08 -8.68814072e-08  4.05039583e-02  9.99179378e-01],[-0.09525024  0.09301558  0.        ],[-0.75502449 -2.95975327  0.        ],2.5809568279517827e-06,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,3.871,[ 1.74479771e-08 -1.58423699e-08  4.00989754e-02  9.99195713e-01],[-0.05358417  0.10793498  0.        ],[1.98409881 0.71044788 0.        ],0.038601157704875565,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,3.8810000000000002,[7.68564032e-10 1.93903396e-08 3.94915102e-02 9.99219906e-01],[-0.04037531  0.0920133   0.        ],[ 1.32088538 -1.59216855  0.        ],0.12158936077185256,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,3.896,[-1.99425119e-08  9.04558562e-08  3.86309064e-02  9.99253548e-01],[-0.06226605  0.1100924   0.        ],[-1.45938263  1.20527314  0.        ],0.11483481530592783,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,3.911,[ 3.84500762e-07 -2.61104955e-06  3.59193324e-02  9.99354693e-01],[-0.0701887   0.11271103  0.        ],[-0.52817626  0.17457581  0.        ],0.36179493111391925,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,3.923,[-9.20855523e-09  3.06549472e-08  3.45702296e-02  9.99402271e-01],[-0.08447603  0.13611043  0.        ],[-1.19061148  1.94994959  0.        ],0.22499071146962332,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,3.9459999999999997,[-4.44539723e-06  6.84730073e-07  3.10326429e-02  9.99518372e-01],[-0.0890024  0.0802946  0.       ],[-0.19679843 -2.42677511  0.        ],0.3077822604691111,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,3.972,[3.13029541e-07 1.51572852e-06 2.35497475e-02 9.99722666e-01],[-0.05216004  0.09055685  0.        ],[1.41701356 0.3947018  0.        ],0.5758232822489875,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,3.992,[ 2.20863914e-06 -4.03042801e-06  1.58845455e-02  9.99873833e-01],[-0.06672166  0.05990478  0.        ],[-0.72808073 -1.53260362  0.        ],0.7666713473357318,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
