,timestamp,rotation,position,actual_linear_vel,actual_angular_vel,wheel_names,wheel_effort,wheel_vel,commanded_linear,commanded_angular
0,0.0,[0. 0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
0,3.9071999999999996,[-1.61641636e-07 -4.49559235e-07  3.40185810e-02  9.99389976e-01],[-0.06941744  0.10348446  0.        ],[-0.01570031 -0.40366106  0.        ],0.3332349625859832,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.0775,[ 1.91615904e-06  3.95698700e-07 -2.31823931e-02  9.99537768e-01],[-0.07587999  0.09940071  0.        ],[-0.3958221   0.57971698  0.        ],1.7280672230063714,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.2269,[ 1.50189747e-06  8.59214893e-08 -9.56168938e-02  9.95256686e-01],[-0.07993128  0.08868335  0.        ],[ 0.06832296 -0.21504822  0.        ],0.9231135776479007,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.333500000000001,[ 1.69112869e-06  1.69692177e-06 -1.46746552e-01  9.88996955e-01],[-0.08679871  0.09882066  0.        ],[-0.08810156  0.21222951  0.        ],1.5814987154255815,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.5038,[ 3.52051935e-07 -1.32175106e-06 -2.20805376e-01  9.75209891e-01],[-0.07401329  0.10335884  0.        ],[0.3345525  0.36748812 0.        ],0.6924031710855081,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.6431,[ 3.21671102e-08 -1.41062256e-07 -2.60963212e-01  9.65295841e-01],[-0.0773299   0.10561822  0.        ],[-0.78130786 -0.22519208  0.        ],0.5324803471808528,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.777200000000001,[ 9.30443711e-08 -2.18381233e-07 -2.97811844e-01  9.54525759e-01],[-0.08316408  0.08664853  0.        ],[-0.29675645 -0.18479731  0.        ],0.6397036354941715,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.941400000000001,[-3.39903266e-07 -1.89745934e-08 -3.45307726e-01  9.38366061e-01],[-0.07644934  0.08695995  0.        ],[0.21389637 0.11346791 0.        ],0.6122730129742504,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,5.1171999999999995,[ 6.06247850e-08  7.15180536e-07 -3.92303977e-01  9.19767073e-01],[-0.07228174  0.07908413  0.        ],[-0.59682751 -0.35286014  0.        ],0.5511934933900541,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,5.264100000000001,[ 2.33937930e-07  1.09900230e-07 -4.32080419e-01  9.01709925e-01],[-0.08418197  0.09261042  0.        ],[-1.28147479  1.65098633  0.        ],0.5332586804237842,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,5.4078,[ 3.24639676e-08 -1.08446826e-07 -4.68007067e-01  8.83670459e-01],[-0.07119982  0.0889487   0.        ],[ 0.15213937 -0.33468349  0.        ],0.5467472514236096,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,5.541399999999999,[ 1.15452571e-06 -1.03886579e-06 -5.00942058e-01  8.65402767e-01],[-0.08463345  0.08143637  0.        ],[-0.54193306  0.10104013  0.        ],0.561761879572913,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,5.7145,[-5.34336686e-08 -5.24421925e-08 -5.43561705e-01  8.39221024e-01],[-0.08161462  0.07563237  0.        ],[0.01465375 0.04066932 0.        ],0.5270240799933202,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,5.887099999999999,[-4.05722651e-07  6.91605878e-07 -5.87610747e-01  8.08933786e-01],[-0.07640854  0.08457982  0.        ],[ 0.4019117  -0.19357673  0.        ],0.6345497978918628,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,6.065600000000001,[-2.26680631e-07 -3.80105495e-07 -6.34460285e-01  7.72819964e-01],[-0.08874899  0.08173387  0.        ],[-0.74182811 -0.17477221  0.        ],0.6682192585057368,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
